电站id,电站名称,货币单位,日期,预期收益,实际收益
208,科宁达站,CNY,2025-10-02,685.3,-6.54
208,科宁达站,CNY,2025-10-01,685.3,-149.71
208,科宁达站,CNY,2025-09-30,602.73,539.57
208,科宁达站,CNY,2025-09-29,604.26,533.01
208,科宁达站,CNY,2025-09-28,604.26,534.51
208,科宁达站,CNY,2025-09-27,604.26,531.36
208,科宁达站,CNY,2025-09-26,604.26,536.44
208,科宁达站,CNY,2025-09-25,604.26,532.18
208,科宁达站,CNY,2025-09-24,604.26,535.9
208,科宁达站,CNY,2025-09-23,604.26,533.66
208,科宁达站,CNY,2025-09-22,604.26,537.04
208,科宁达站,CNY,2025-09-21,604.26,536.59
208,科宁达站,CNY,2025-09-20,604.26,541.66
208,科宁达站,CNY,2025-09-19,604.26,536.03
208,科宁达站,CNY,2025-09-18,604.26,542.48
208,科宁达站,CNY,2025-09-17,604.26,534.4
208,科宁达站,CNY,2025-09-16,604.26,538.52
208,科宁达站,CNY,2025-09-15,604.26,540.61
208,科宁达站,CNY,2025-09-14,604.26,537.76
208,科宁达站,CNY,2025-09-13,604.26,543.95
208,科宁达站,CNY,2025-09-12,604.26,536.91
208,科宁达站,CNY,2025-09-11,604.26,542.75
208,科宁达站,CNY,2025-09-10,604.26,540.94
208,科宁达站,CNY,2025-09-09,604.26,542.54
208,科宁达站,CNY,2025-09-08,604.26,534.27
208,科宁达站,CNY,2025-09-07,604.26,541.17
208,科宁达站,CNY,2025-09-06,604.26,536.05
208,科宁达站,CNY,2025-09-05,604.26,540.94
208,科宁达站,CNY,2025-09-04,604.26,535.34
208,科宁达站,CNY,2025-09-03,604.26,539.89
208,科宁达站,CNY,2025-09-02,604.26,536.01
208,科宁达站,CNY,2025-09-01,604.26,539.56
212,隆源二厂储能电站,CNY,2026-01-13,2252.75,2384.31
212,隆源二厂储能电站,CNY,2026-01-12,2252.75,2359.27
212,隆源二厂储能电站,CNY,2026-01-11,2252.75,2258.05
212,隆源二厂储能电站,CNY,2026-01-10,2252.75,2365.54
212,隆源二厂储能电站,CNY,2026-01-09,2252.75,2360.58
212,隆源二厂储能电站,CNY,2026-01-08,2252.75,2295.66
212,隆源二厂储能电站,CNY,2026-01-07,2252.75,2368.81
212,隆源二厂储能电站,CNY,2026-01-06,2252.75,2379.78
212,隆源二厂储能电站,CNY,2026-01-05,2252.75,2267.53
212,隆源二厂储能电站,CNY,2026-01-04,2252.75,2358.63
212,隆源二厂储能电站,CNY,2026-01-03,2252.75,2383.52
212,隆源二厂储能电站,CNY,2026-01-02,2252.75,2389.85
212,隆源二厂储能电站,CNY,2026-01-01,2252.75,1331.15
212,隆源二厂储能电站,CNY,2025-12-31,2399.47,2534.71
212,隆源二厂储能电站,CNY,2025-12-30,2399.47,2435.69
212,隆源二厂储能电站,CNY,2025-12-29,2399.47,2528.57
212,隆源二厂储能电站,CNY,2025-12-28,2399.47,2553.12
212,隆源二厂储能电站,CNY,2025-12-27,2399.47,2533.95
212,隆源二厂储能电站,CNY,2025-12-26,2399.47,2524.52
212,隆源二厂储能电站,CNY,2025-12-25,2399.47,2525.3
212,隆源二厂储能电站,CNY,2025-12-24,2399.47,2383.01
212,隆源二厂储能电站,CNY,2025-12-23,2399.47,2521.65
212,隆源二厂储能电站,CNY,2025-12-22,2399.47,2511.05
212,隆源二厂储能电站,CNY,2025-12-21,2399.47,2557.2
212,隆源二厂储能电站,CNY,2025-12-20,2399.47,2522.81
212,隆源二厂储能电站,CNY,2025-12-19,2399.47,2523.62
212,隆源二厂储能电站,CNY,2025-12-18,2399.47,2554.49
212,隆源二厂储能电站,CNY,2025-12-17,2399.47,2558.45
212,隆源二厂储能电站,CNY,2025-12-16,2399.47,2539.16
212,隆源二厂储能电站,CNY,2025-12-15,2399.47,2904.55
212,隆源二厂储能电站,CNY,2025-12-14,2399.47,2063.57
212,隆源二厂储能电站,CNY,2025-12-13,2399.47,2360.06
212,隆源二厂储能电站,CNY,2025-12-12,2399.47,2487.8
212,隆源二厂储能电站,CNY,2025-12-11,2399.47,2550.43
212,隆源二厂储能电站,CNY,2025-12-10,2399.47,2512.92
212,隆源二厂储能电站,CNY,2025-12-09,2399.47,2537.95
212,隆源二厂储能电站,CNY,2025-12-08,2399.47,2525.51
