"告警发生日期","电站id","告警id","告警设备","告警名称","告警开始时间","告警结束时间"
"2025-12-26","287","7a8ec81d-b1df-437d-ac62-8fb73f4bdbbe","pcs","直流输入欠压","26/12/2025 04:05:55","26/12/2025 04:07:26"
"2025-12-26","287","ce6e0d2e-937a-4268-b313-7d591a9fdc4e","lc","QF2（电池簇）反馈","26/12/2025 04:05:54","26/12/2025 04:07:26"
"2025-12-26","287","41d8bc6d-4178-4d88-a896-4b2e88b951f0","pcs","交流母线欠频","26/12/2025 04:05:56","26/12/2025 04:07:26"
"2025-12-26","287","af3dbec9-9cf1-424b-918b-1dc121793c4e","pcs","交流母线欠压","26/12/2025 04:05:55","26/12/2025 04:07:26"
"2025-12-26","287","456bd68f-5062-4dd6-bf88-8b9f92f5982b","lc","QF1（电网）反馈","26/12/2025 04:05:56","26/12/2025 04:07:26"
"2025-12-26","287","fc5b1656-f8ab-4a1d-b36c-c09bcb724e73","pcs","紧急停机","26/12/2025 04:05:57","26/12/2025 04:07:26"
"2025-12-26","287","f89c49f5-69bb-4713-8d3e-95da9189e46e","lc","LC控制通信丢失","26/12/2025 04:06:07","26/12/2025 04:06:14"
"2025-12-26","287","a1b11ba6-a172-49b4-b85c-80f48edb65f4","lc","LC控制通信丢失","26/12/2025 04:06:07","26/12/2025 04:08:28"
"2025-12-26","287","081e93da-0d06-4110-bd74-938b457dfa68","lc","LC控制通信丢失","26/12/2025 04:06:57","26/12/2025 04:07:01"
"2025-12-26","287","85706ae3-6703-4f13-87ee-6d43b286ce04","lc","LC控制通信丢失","26/12/2025 04:06:57","26/12/2025 04:07:02"
"2025-12-26","287","b08f26e5-931c-4781-b467-7036f1f9f751","lc","LC控制通信丢失","26/12/2025 04:06:57","26/12/2025 04:07:03"
"2025-12-26","287","5428d9c4-6b4a-4c6a-b9f1-1f81162ef503","pcs","PCS通讯丢失","26/12/2025 04:07:30","26/12/2025 04:07:33"
"2025-12-26","287","bb7c61e6-8092-40a3-9bd6-593851ec0810","pcs","DSP参数设置不匹配","26/12/2025 04:07:33","26/12/2025 04:08:02"
"2025-12-26","287","98d1a017-4eb5-47db-96df-2baef69bdb52","lc","QF2（电池簇）反馈","26/12/2025 04:10:55","26/12/2025 04:14:53"
"2025-12-26","287","c3e0d268-2723-428d-91d3-469390afed22","pcs","交流母线欠频","26/12/2025 04:10:56","26/12/2025 04:14:53"
"2025-12-26","287","a1ecbe1d-5132-4fd8-a5a4-9dd45e5eac7b","pcs","交流母线欠压","26/12/2025 04:10:56","26/12/2025 04:14:53"
"2025-12-26","287","bf1657a9-3f80-4e27-b873-e49953971a37","lc","QF1（电网）反馈","26/12/2025 04:10:57","26/12/2025 04:14:53"
"2025-12-26","287","d60c8d6c-eea1-47f1-8b9b-8eab938f4669","pcs","直流输入欠压","26/12/2025 04:10:56","26/12/2025 04:14:53"
"2025-12-26","287","f32174fd-ade2-4d1a-94a7-89e93af23d40","pcs","紧急停机","26/12/2025 04:10:58","26/12/2025 04:14:53"
"2025-12-26","287","8e9013dc-5a10-4f65-bedc-3c92281b8043","lc","LC控制通信丢失","26/12/2025 04:11:07","26/12/2025 04:18:56"
"2025-12-26","287","9fdae339-02be-4f35-a506-e33a201c8749","lc","LC控制通信丢失","26/12/2025 04:11:07","26/12/2025 04:14:55"
"2025-12-26","287","e3407c54-85d6-4279-bdc2-a0c875962bc3","lc","LC控制通信丢失","26/12/2025 04:14:24","26/12/2025 04:14:29"
"2025-12-26","287","f4718e91-53b2-451b-9e22-c7c20b85cb25","lc","LC控制通信丢失","26/12/2025 04:14:25","26/12/2025 04:14:30"
"2025-12-26","287","799eec90-02f8-440d-9c16-044353249723","pcs","PCS通讯丢失","26/12/2025 04:14:56","26/12/2025 04:15:01"
"2025-12-26","287","2fea3719-fdc5-43b4-ac13-c4fe72aa2b07","pcs","DSP参数设置不匹配","26/12/2025 04:14:58","26/12/2025 04:15:29"
"2025-12-26","287","eaea63b7-6eb0-4841-b04f-910c35e42806","pcs","交流母线欠压","26/12/2025 04:19:50","26/12/2025 04:27:49"
"2025-12-26","287","dafc2d67-585f-4ac1-ad43-4b582a915912","pcs","直流输入欠压","26/12/2025 04:19:51","26/12/2025 04:27:49"
"2025-12-26","287","bebf4ec0-c60f-4d27-888d-182be3d3cfdf","lc","QF1（电网）反馈","26/12/2025 04:19:50","26/12/2025 04:27:49"
"2025-12-26","287","044c2020-9ff6-481d-8079-b190cc2e8b7d","pcs","交流母线欠频","26/12/2025 04:19:51","26/12/2025 04:27:49"
"2025-12-26","287","e59ec559-63d0-440e-8d85-dc91d1672520","lc","QF2（电池簇）反馈","26/12/2025 04:19:52","26/12/2025 04:27:49"
"2025-12-26","287","4b6011a0-574c-4675-bb0f-7fecbaa973f3","pcs","紧急停机","26/12/2025 04:19:58","26/12/2025 04:27:49"
